token,frequency,pos
boyfriend,14,NN
badly,14,RB
dog,14,NN
reintroduced,14,VBN
smaller,14,JJR
released,14,VBN
checking,14,VBG
virginia,14,NN
putting,14,VBG
versions,14,NNS
minute,14,NN
winner,14,NN
eats,14,NNS
obsessed,14,VBN
discover,14,NN
clear,14,JJ
information,14,NN
dark,14,NN
save,14,VB
comfort,14,NN
nowhere,14,RB
major,14,JJ
markets,14,NNS
btw,14,NN
polar,14,NN
loyal,14,NN
worse,14,JJR
till,14,NN
drink,14,NN
unhealthy,14,JJ
impossible,14,JJ
southern,14,JJ
feeling,14,VBG
named,14,VBN
dessert,14,NN
treats,14,NNS
pull,14,NN
constantly,14,RB
fabulous,14,JJ
generations,14,NNS
label,14,NN
attention,14,NN
sun,13,NN
paper,13,NN
cute,13,NN
reeses,13,NNS
rich,13,JJ
kitchen,13,NN
remembering,13,VBG
cones,13,NNS
easy,13,JJ
ship,13,NN
beyond,13,IN
crack,13,NN
fondly,13,RB
opportunity,13,NN
kenmei,13,NN
previous,13,JJ
serve,13,NN
ran,13,NN
honeycombs,13,NNS
cheap,13,NN
joe,13,NN
disgusting,13,VBG
tx,13,NN
surprise,13,NN
fl,13,NN
play,13,NN
eggs,13,NNS
england,13,NN
wars,13,NNS
teenager,13,NN
facebook,13,NN
returned,13,VBN
energy,13,NN
germ,13,NN
nutty,13,RB
bucks,13,NNS
crushed,13,VBN
showed,13,VBD
planet,13,NN
visiting,13,VBG
yuck,13,NN
choco,13,NN
meant,13,NN
date,13,NN
yrs,13,NN
stupid,13,JJ
australia,13,NNS
power,13,NN
cranberry,13,NN
deal,13,NN
n,13,NN
pick,13,NN
cravings,13,NNS
hurt,13,NN
anytime,13,NN
opened,13,VBN
refuse,13,NN
consistency,13,NN
chain,13,NN
soft,13,JJ
broke,13,NN
il,13,NN
toasted,13,VBD
honestly,13,RB
p,13,NN
response,13,NN
emailed,13,VBN
north,13,NN
carried,13,VBN
grandkids,13,NNS
avail,13,NN
fly,13,NN
serious,12,JJ
cry,12,NN
easier,12,JJR
popeye,12,NN
fof,12,NN
allowed,12,VBN
ruined,12,VBN
successful,12,JJ
sooo,12,NN
room,12,NN
starting,12,VBG
loaded,12,VBN
door,12,NN
competition,12,NN
pecan,12,JJ
personal,12,JJ
notice,12,NN
bulk,12,NN
posted,12,VBN
particular,12,JJ
knowing,12,VBG
poured,12,VBN
pancakes,12,NNS
nesquik,12,NN
exist,12,NN
pity,12,NN
cried,12,VBN
message,12,NN
point,12,NN
dreams,12,NNS
buds,12,NNS
behind,12,IN
crispix,12,NN
allergic,12,NN
winter,12,NN
playing,12,VBG
directly,12,RB
supply,12,NN
preferred,12,VBN
recommend,12,NN
nc,12,NN
recent,12,JJ
whether,12,IN
trader,12,NN
sweeter,12,NN
began,12,VBD
bar,12,NN
duplicate,12,NN
bars,12,NNS
vanilly,12,RB
dip,12,NN
difference,12,NN
occasionally,12,RB
plz,12,NN
fingers,12,NNS
sam,12,NN
spent,12,NN
mentioned,12,VBN
otherwise,12,RB
hopes,12,NNS
ha,12,NN
received,12,VBN
broken,12,NN
hidden,12,NN
figured,12,VBN
fool,12,NN
gosh,12,NN
travel,12,NN
base,12,NN
salt,12,NN
factory,12,NN
stick,11,NN
losing,11,VBG
premium,11,NN
difficult,11,JJ
admit,11,NN
seven,11,CD
superior,11,JJ
rainbow,11,NN
blend,11,NN
ridiculous,11,JJ
fit,11,NN
switch,11,NN
changing,11,VBG
em,11,NN
thrilled,11,VBN
craved,11,VBN
larger,11,JJR
manufacturing,11,NN
sprinkled,11,VBN
daughters,11,NNS
varieties,11,NNS
jersey,11,NN
played,11,NNS
korea,11,NN
blah,11,NN
terrific,11,NN
set,11,NN
magic,11,NN
rated,11,VBN
carolina,11,NN
unsweetened,11,JJ
generic,11,NN
combined,11,VBN
powdered,11,VBN
chip,11,NN
pregnancy,11,NN
writing,11,VBG
ontario,11,NN
obvious,11,JJ
learn,11,NN
dying,11,VBG
cheaper,11,NN
strange,11,NN
tom,11,NN
cents,11,NNS
vanished,11,NNS
gotten,11,NNS
ten,11,NNS
tarts,11,NNS
sometime,11,RB
machine,11,NN
distinct,11,NN
dollars,11,NNS
teacher,11,NN
teen,11,NN
eight,11,CD
support,11,NN
begin,11,NN
quick,11,NN
helps,11,NNS
uncle,11,NN
throw,11,NN
damn,11,NN
august,11,NN
party,11,NN
giant,11,NN
cooked,11,NNS
lose,11,VB
eventually,11,RB
fed,11,NN
oks,11,NNS
flavorful,11,NN
words,11,NNS
satisfied,11,JJ
donuts,11,NNS
group,11,NN
ended,11,VBN
indiana,11,NN
crying,11,VBG
class,11,NN
county,11,NN
watched,11,VBN
vector,11,NN
requests,11,NNS
following,11,VBG
powerpuff,11,NN
decade,11,NN
stars,11,NNS
costco,11,NN
mad,11,NN
phone,11,NN
among,11,IN
mess,11,NN
fave,11,NN
jackson,10,NN
ton,10,NN
image,10,NN
w,10,NN
cake,10,NN
tooth,10,NN
join,10,NN
colorful,10,NN
balls,10,NNS
chips,10,NNS
promotion,10,NN
remains,10,NNS
ratings,10,NNS
heavy,10,JJ
problems,10,NNS
heartbroken,10,NN
biscuit,10,NN
fire,10,NN
tomorrow,10,NN
diabetics,10,NNS
shops,10,NNS
shows,10,NNS
somewhat,10,RB
copy,10,NN
according,10,VBG
grocers,10,NNS
stickers,10,NNS
shot,10,NN
marketed,10,VBN
prize,10,NN
complete,10,JJ
